category,keyword(jp),keyword
ポーズ・構図,1人の女の子,1girl
ポーズ・構図,6人以上の女の子,6+girls
ポーズ・構図,見下ろす,looking down（from belowで上から見下ろすになる）
ポーズ・構図,見上げる,looking up（from aboveで下から見上げるになる）
ポーズ・構図,3P,threesome（そのままは出ないけど、構図が変化する）
ポーズ・構図,身長差,height difference（2girlsではダメ。1girl and 1boyならOK）
ポーズ・構図,水遊び,wading
ポーズ・構図,水に浸かる,partially submerged
ポーズ・構図,水に浮かんでいる,afloat
ポーズ・構図,シルエット,silhouette
ポーズ・構図,頭をフレーム外へ,head out of frame
ポーズ・構図,足をフレーム外へ,feet out of frame
ポーズ・構図,一人称視点、手あり,pov hands（povだけでは✕、legsも✕）
ポーズ・構図,野外露出,public indecency
ポーズ・構図,〇〇に入っている,in container ○○（段ボール箱等）
ポーズ・構図,足を水に浸す,soaking feet
ポーズ・構図,パースの強い画角,perspective（クセが強い、破綻しやすい、ランダム性が強い）
ポーズ・構図,一点透視図法,vanishing point（精度低め。二点透視図法になったことはない）
ポーズ・構図,特性接続,trait connection（girl sandwichと似た構図になるが、少し異なる）
ポーズ・構図,胸囲の格差社会,breasts envy（胸を羨望している構図は出るが、胸の大きさは同じなので意味がわからない構図になる。胸の大きさが変更出来るプロンプトがあれば化けそう）
ポーズ・構図,見てる人を狙う（カメラ目線で銃を向ける）,aiming at viewer
ポーズ・構図,逃げる,fleeing（動きのある絵になる）
ポーズ・構図,小人視点,foreshortening
ポーズ・構図,コントラポスト、自然な立ち姿,contrapposto
ポーズ・構図,抱きまくらっぽい感じ,dakimakura
ポーズ・構図,ファイティングポーズ,fighting stance
ポーズ・構図,自撮り,selfie
ポーズ・構図,ガラス越し,through glass / against glass
ポーズ・構図,エクササイズ,exercise（服装、ポーズが運動系になる）
ポーズ・構図,ストレッチポーズ,stretching
ポーズ・構図,歌っている,singing
ポーズ・構図,蹴る,kicking
ポーズ・構図,踊っている,dancing
ポーズ・構図,パンチ,punching（boxing glovesをundesired contentに入れる）
ポーズ・構図,胎児のポーズ,fetal position（足が崩れやすい）
ポーズ・構図,乳合わせ,symmetrical docking
ポーズ・構図,向き合う,asymmetrical docking
ポーズ・構図,見つめ合う,eye contact
ポーズ・構図,顔を向かい合わせ,face to face / heads together
ポーズ・構図,馬乗り,straddling
ポーズ・構図,うつ伏せ,on stomach
ポーズ・構図,四つん這い,all fours
ポーズ・構図,土下座,prostration
ポーズ・構図,拘束,restrained
ポーズ・構図,おんぶ,piggyback（位置はあってるが、四肢が崩れやすい）
ポーズ・構図,たくし上げ,clothes lift / shirt lift / skirt lift / sweater lift / lifted by self / dress lift
ポーズ・構図,お尻を突き出す,doggystyle
ポーズ・構図,お尻を突き出す,doggystyle
ポーズ・構図,ジャックオーチャレンジ,top down bottom up（jack-o_challengeは✕）
ポーズ・構図,I字ポーズ,standing split
ポーズ・構図,壁と向き合って,against wall
ポーズ・構図,背中合わせ,back to back
ポーズ・構図,食べさせる,feeding（2人いないと✕）
ポーズ・構図,寝る,sleepy / zzz（sleepy推奨。zzzは起きてる）
ポーズ・構図,リクライニング,reclining（ちょっと微妙かも？）
ポーズ・構図,カード遊び,playing card
ポーズ・構図,敬礼,salute
ポーズ・構図,緊縛,bound / bondage / breast bondage / shibari
ポーズ・構図,槍を手に握っている,polearm
ポーズ・構図,体育座り,knees up
ポーズ・構図,髪が肩にかかる構図,hair over shoulder
ポーズ・構図,髪をかきあげる,hand on own face
ポーズ・構図,手を頭に当てる,hand in own hair
ポーズ・構図,髪をいじっている、結いている,adjusting hair / tying hair
ポーズ・構図,頭なでなで,headpat
ポーズ・構図,帽子を触る,adjusting headwear
ポーズ・構図,髪に手をいれる,hands in hair
ポーズ・構図,手をポケットに入れる,hands in pockets
ポーズ・構図,前屈み,leaning forward
ポーズ・構図,屈む,squatting
ポーズ・構図,深く前屈み,bent over
ポーズ・構図,背中から抱きつく,hug from behind
ポーズ・構図,シーツで隠れている,under covers
ポーズ・構図,口から血が出る,blood from mouth（口以外にも血の描写が波及する）
ポーズ・構図,メガネを直す,adjusting eyewear
ポーズ・構図,枕を抱く,pillow hug
ポーズ・構図,横たわっている,on side（lyingより向きが一律？）
ポーズ・構図,にゃんにゃん、がおーポーズ,claw pose（爪が生えるのでUndesired Contentにclawを入れる）
ポーズ・構図,ピース,peace sign
ポーズ・構図,手をつなぐ,holding hands
ポーズ・構図,手をつく,arm support
ポーズ・構図,両手を広げる,outstretched arms
ポーズ・構図,ぬいぐるみを抱く,stuffed toy / stuffed animal
ポーズ・構図,握りこぶし,clenched hand
ポーズ・構図,手をぎゅっと握る,interlocked fingers
ポーズ・構図,シーッ,index finger raised
ポーズ・構図,指差し系,pointing (at viewer / up / at self / another / forward / weapon / down / sword / to the side)
ポーズ・構図,（胸の前で）両手を握る,own hands together
ポーズ・構図,指を舐める,finger to mouth
ポーズ・構図,太ももの間に手を入れる,between legs
ポーズ・構図,手を後ろに回す構図,arm behind back
ポーズ・構図,顔を手で覆う,hand over own mouth
ポーズ・構図,腕組み,crossed arms
ポーズ・構図,外側に手を広げる,outstretched hand
ポーズ・構図,何かを抱いている,object hug
ポーズ・構図,腕を広げる,spread arms
ポーズ・構図,手を帽子に,hand on headwear
ポーズ・構図,キス待ち,imminent kiss
ポーズ・構図,サムズアップ,thumbs up
ポーズ・構図,顎に手をかざす,hand on own chin
ポーズ・構図,手を頬に,hand on own cheek
ポーズ・構図,頬と頬を寄せ合う,cheek to cheek
ポーズ・構図,机の上に胸を置く,breasts rest on table
ポーズ・構図,腰に手を当てる,hands on hips
ポーズ・構図,尻尾が上がる,tail raised
ポーズ・構図,腕に抱きつく,arm hug
ポーズ・構図,腿上げ,leg lift
ポーズ・構図,両足一緒に,legs together
ポーズ・構図,足組み,crossed legs
ポーズ・構図,片足立ち,standing on one leg
ポーズ・構図,腰の骨がわかりやすい構図,hip bones
ポーズ・構図,片膝立ち,one knee
ポーズ・構図,足パタパタ、寝転がって足を上げる,feet up（lying on stomachとセットで。足の描画が崩れやすい。the poseタグがコレにあたるが、the poseだけでは出ない）
ポーズ・構図,膝立ち,kneeling
ポーズ・構図,あぐら,indian style
髪型,アホ毛,ahoge（2本以上はantenna hair）
髪型,デカいアホ毛,huge ahoge（もれなく胸もデカくなるのでsmall breasts等の調整が必要）
髪型,長い横髪,sidelocks
髪型,サイドテール,side ponytailまたはone side up
髪型,編み込みが一つ,single braid
髪型,ドリルヘアー,drill hair
髪型,流した前髪,swept bangs
髪型,内巻き,hair intakes
髪型,横編み込み,side braid
髪型,ショートヘアで一部がロングヘア,short hair with long locks
髪型,編み込み,french braid
髪型,ハーフアップ,half updo / updo
髪型,編み上げポニテ,braid ponytail
髪型,姫カット,hime cut（効いてるか怪しい）
髪型,長い前髪,hair between eyes / pointy hair / long bangs
髪型,オールバック？,hair slicked back
髪型,お団子ヘア,bun / braided bun
髪型,インナーカラー,colored inner hair
髪型,耳出し,hair behind ear
髪型,メッシュ,streaked hair
髪型,髪がなびく,floating hair
髪型,ヘアゴム,hair bobbles
髪型,花冠,head wreath
髪型,髪飾り,hair ornament / ( x / star / heart / butterfly / crescent / leaf / skull / carrot / bat ) hair ornament ※frog / food themed / snake / feather / anchor / rabbit / car / musical noteもタグは存在するが出力は微妙
髪型,花の髪飾り,hair flower
髪型,鈴の髪飾り,hair bell
髪型,頭飾り,headpiece
髪型,ウインク,one eye closed
髪型,ニヤニヤ,grin
髪型,恥じらい,embarrassed
髪型,飛び散る汗,flying sweatdrops
髪型,顔に大きく影がある表情,shaded face
髪型,ビックリ,surprised
髪型,しかめっ面,frown / furrowed brow / wince
髪型,いたずら顔,naughty face
髪型,号泣,crying with eyes open
髪型,真剣な表情,serious
髪型,ニヤッ（悪）,smirk
髪型,ふくれっ面,pout
髪型,ドヤ顔,smug
髪型,イライラ,annoyed
髪型,悲しい顔,sad
髪型,叫ぶ,shouting / screaming
髪型,緊張や恐怖で大量の汗が出る,sweating profusely（汗は出ないがそういう表情になる）
髪型,睨み,glaring / scowl
髪型,短い眉毛,short eyebrows
髪型,額にマーク,forehead mark
髪型,太眉,thick eyebrows
髪型,まゆ毛が前髪で隠れている,eyebrows hidden by hair
髪型,キリッ眉,v shaped eyebrows
髪型,タレ目,tareme
髪型,ツリ目,tsurime
髪型,ジト目,jitome / half closed eyes
髪型,目に涙を浮かべる,tearing up
髪型,ハート目,heart shaped pupils
髪型,猫目,slit pupils
髪型,片目隠れ,hair over one eye / one eye covered
髪型,瞳が何かの形になっている,symbol shaped pupils
髪型,オッドアイ,heterochromia
髪型,長いまつ毛,long eyelashes
髪型,デフォルメの頬染め,blush stickers
髪型,波型の口,waby mouth / :3
髪型,顔文字系,:D、:o、:<、:p、:q、:/、:I、:X、:C、
髪型,歯を噛みしめる,slenched teeth
髪型,八重歯,skin fang
髪型,上の歯,upper teeth
髪型,鋭い歯,sharp teeth
髪型,歯むき出し,round teeth
髪型,歯を食いしばる,clenched teeth
髪型,何かで口を覆う,covering mouth
髪型,ビットギャグ,bit gag
髪型,唇を噛みしめる,lip biting
髪型,すぼませた口,puckered lips
髪型,舌を出す,tongue out
髪型,エルフ耳,pointy ears / elves
髪型,涙ボクロ,mole under eye
髪型,首かしげ,head tilt
髪型,艶ぼくろ,mole under mouth
髪型,あくび,yawning
髪型,ツンデレ,tsundere（ツリ目＋wavy mouth？）
髪型,表情集っぽい絵,expressions（表情集は出ないが、いろんな表情をしてくれる）
髪型,垂れ耳,floppy ears（あんまり垂れないから微妙かも？ケモミミとセットで）
部位,汗,sweatdrop
部位,筋肉質,muscular
部位,ムチムチ,curvy
部位,日焼け跡,tanlines
部位,低身長,minigirl
部位,ポチャ,plump
部位,傷がついてる系,injury / scar on face
部位,蒸れ,steaming body
部位,タトゥー,tattoo / pubic tattoo / facial tattoo / arm tattoo / shoulder tattoo
部位,体が柔らかい,flexible（色んな構図、色んなポーズをしてくれる。かなり崩れやすいので注意）
部位,うなじ,nape
部位,肩甲骨,shoulder blades
部位,わき,armpits
部位,ワンピースの日焼け跡,one piece tan
部位,胸の大きさ,small breasts / meidum breasts / large breasts / huge breasts / gigantic breasts
部位,横乳,sideboob
部位,下乳,underboob
部位,胸を押さえる、支える,breast hold
部位,ニップレス,pasties
部位,肋骨,ribs
部位,妊婦、ボテ腹,pregnant
部位,お腹,stomach
部位,へそ,navel
部位,垂直な腹筋線,linea alba
部位,ネイル,nail polish
部位,スジ,cameltoe
部位,絶対空域,thigh gap
部位,絶対領域,zettai ryouiki
部位,内股,pigeon toed
部位,小さい尻,flat ass
部位,半ケツ,butt crack（半分どころではないのが出る）
部位,足裏,soles
部位,足のネイル,toenail polish
服装,露出度の高い服,revealing clothes
服装,露出度の低い,unexposed
服装,きつい服による締め付け,skindentation
服装,パッツンパッツン,skin tight
服装,ぶかぶかの服,baggy clothes / baggy pants
服装,タオル,towel
服装,裸タオル,naked towel
服装,裸エプロン,naked apron
服装,裸コート,naked coat
服装,全身タイツ,bodystocking
服装,テカテカ,latex（全てをメタリック全身タイツに変えてしまうゲキヤバワード。タオル(towel)をプロンプトに入れたら全身タイツが消えた）
服装,服の上から縛る,shibari over clothes
服装,脱衣,undressing
服装,肩紐なし,strapless
服装,スケスケ,see-through silhouette（see-throughだけで十分かも？）
服装,ファー付き○○,fur trimmed ○○
服装,レースの裾の何か,lace trim ○○
服装,布を引っ張る,clothes pull
服装,肩開きのトップス,detached sleeves
服装,セーラー服,serafuku
服装,紐パン,side tie bikini bottom(水着) / side tie panties(下着)
服装,ビリビリの服,torn clothes / torn ○○でビリビリに破られた○○
服装,童貞を殺す服,cleavage cutout
服装,ボンテージ,bdsm
服装,袴,hakama
服装,着物,kimono
服装,ウェディンググローブ,bridal gauntlets
服装,ストラップレスドレス,strapless dress
服装,オフショルダードレス,off shoulder dress
服装,文字入り服,clothes writing
服装,マイクロビキニ,micro bikini / string bikini
服装,競泳水着,competition swimsuit
服装,バンドゥビキニ,bandeau
服装,ロリータファッション,lolita fashion
服装,ゴスロリ,gothic lolita
服装,体操服,gym uniform
服装,ローブ,robe
服装,紫（東方）の服,tabard
服装,騎士が鎧の上に着る服,surcoat
服装,パジャマ,pajamas
服装,バックレス（背中丸見え）,backless outfit
服装,白衣,labcoat
服装,白ワンピ,sundress
服装,ボタンが2つずつ並んだ服,double breasted
服装,エプロンドレス,pinafore dress
服装,ラグランスリーブ（ベースボールシャツ）,raglan sleeves
服装,レイヤードドレス,layered dress
服装,袖なしタートルネック,sleeveless turtleneck
服装,ジャージ,track suits / track pants
服装,夏服,summer uniform
服装,ボディハーネス,harness / chest harness
服装,ネグリジェ、キャミソール,nightgown / negligee / chemise / babydoll
服装,アランセーター,aran sweater
服装,小さすぎる服,undersized clothes
服装,伸縮性のある服,spandex
服装,寝巻き,sleepwear
服装,紐パンビキニの紐が複数,multi strapped bikini（紐多すぎかも）
服装,燕尾服,tailcoat
服装,テニスユニフォーム,tennis uniform
服装,店員のコスチューム,employee uniform（曖昧すぎて微妙かも。ランダム性は低そう）
服装,レースクイーン,race queen（レースクイーン感が薄いかも？レース場には居る。holding flagと相性○）
服装,キョンシー,jiangshi
服装,サンタビキニ,santa bikini
服装,レスリングユニフォーム,wrestling outfit
服装,ゾンビ,zombie pose（ゾンビポーズではないが、zombieだけよりzombie poseのほうがゾンビっぽくなる）
服装,海賊,pirate
服装,軍服,military jacket
服装,学ラン,gakuran
服装,バニーガール,playboy bunny / bunny suits
服装,ミニ帽子,mini hat
服装,官帽,peaked cap
服装,軍帽,military hat / cap
服装,サンバイザー,visor cap
服装,セーラー帽,sailor hat
服装,麦わら帽子,straw hat
服装,ニット帽,beanie / knitted hat
服装,キャスケット,cabbie hat
服装,シルクハット,top hat（silk hatでは✕）
服装,イヤーマフ,earmuffs
服装,目隠し,blindfold
服装,眼帯,eyepatch
服装,ハーフフレームメガネ,semi rimless eyewear
服装,メガネを頭にかける,eyewear on head
服装,丸メガネ,round eyewear（glassesでも出る）
服装,シュシュ,scrunchie
服装,布とか髪とか通すリボン,ribbon trim
服装,リボン,ribbon / bow
服装,フープイヤリング,hoop earrings
服装,動物の形のフード,animal hood
服装,首輪,leash / blak collar / red collar / belt collar
服装,マフラー,scarf / hair in scarf
服装,蝶ネクタイ,traditional bowtie
服装,シースルーの袖,see-through sleeves
服装,帯,obi / sash
服装,ウェイトレスのエプロン,waist apron
服装,紐ビキニ、リボンブラ,front tie top
服装,胸当て,breastplate
服装,スポブラ,sports bra
服装,ボタンが外れている、天使の小窓,unbuttoned / button gap
服装,カフス,cuffs
服装,萌え袖,sleeves past wrists
服装,上腕の装飾,armlet
服装,腕まくり,sleeves rolled up
服装,肩章,epaulettes
服装,肉球グローブ,paw gloves
服装,ビーズブレスレット,bead bracelet
服装,指ぬきグローブ,fingerless glove / partially fingerless glove
服装,腰巻きセーター,sweater around waist
服装,サスペンダーショーツ,suspender shorts
服装,スカートを引っ張って隠そうとする,skirt tug（微妙かも？）
服装,レッグホルスター,thigh holster
服装,ドルフィンショーツ、スポーツショートパンツ,dolphin shorts / gym shorts
服装,パレオ,sarong
服装,ドロワーズ,bloomers
服装,ベルト, belt / buckle / belt buckle
服装,ハイウエストスカート,high waist skirt
服装,タイトスカート,pencil skirt / skirt suit
服装,パンスト,pantyhose
服装,ホルターネック,halterneck
服装,ガーターベルト,garter straps
服装,パンチラ,pantyshot
服装,裸足,barefoot、靴下等を履いてるならno shoes
服装,ジーンズ、デニム,jeans / denim
服装,スパッツ,bike shorts / bike shorts under skirt
服装,網目,fishnets
服装,股間の前の布,pelvic curtain / loincloth
服装,編み上げブーツ,cross laced footwear / lace up boots
服装,アシンメトリーな足に履くもの,asymmetrical legwear
服装,ルーズソックス,loose socks
服装,ジッパー,zipper / unzipped
服装,ストライプ柄,striped ○○
服装,花柄、動物柄、アーガイル（菱形柄）、牛柄、肉球柄、星柄、虎柄、迷彩柄、国旗柄、サーバル柄,floral print / animal print / argyle / cow print / paw print / star print / tiger print / camouflage / flag print / serval print / polka dot（heart printとbat printは微妙）
服装,柄を入れる服,print legwear / print kimono / print shirt / print bikini / print panties / print skirt / print bow / print gloves
場所,花火,fireworks
場所,花畑,flower field
場所,爆発,explosion
場所,水中,underwater
場所,手すり,railing
場所,温泉,onsen
場所,畳,tatami
場所,入浴中,bathing
場所,シャワー,showering / shower
場所,廊下,hallway
場所,ロッカールーム,locker room
場所,電車内,train / train interior
場所,地平線、水平線,horizon
場所,山地の地平線、遠くの山脈,mountainous horizon
場所,布団,futon
場所,木漏れ日,dappled sunlight
場所,バスタブ,bathtub
場所,電線、電柱,power lines / utility pole（telephone poleでも可）
場所,街灯,lamppost（street lightでも可）
場所,ソファ,couch（またはイギリス英語のsofa）
その他,ふきだし,speech balloons / thought bubble
その他,ハートのふきだし,spoken heart
その他,！のふきだし,spoken exclamation mark
その他,///のふきだし,spoken blush
その他,…のふきだし,spoken elipsis
その他,？のふきだし,spoken question mark
その他,♪のふきだし,spoken musical note
その他,ぐるぐる書き殴ったやつのふきだし,spoken squiggle
その他,グラデーション,gradient
その他,アナログっぽい感じ,traditional media
その他,集中線,emphasis lines
その他,TCG風,card（縦長アス比）
その他,色収差,chromatic aberration
その他,鉛筆画,graphite
その他,ハーフトーン,halftone
その他,90年代の絵柄,retro artstyle / 1990s
その他,４コマ,4koma
その他,紙吹雪,confetti
その他,波紋,ripples
その他,水たまり,puddle（精度がかなり低い）
その他,花びらが舞う,falling petals
その他,天使の輪,halo
その他,男の娘,otoko no ko
その他,マンガとかで動きを表す線,motion lines
その他,楽器,instrument / playing instrument
その他,音符,musical note
その他,煙,steam
その他,扇子,hand fan
その他,触手,tentacles
その他,O型のリング,o-ring
その他,ロボ兵装,machinery
その他,二丁拳銃,dual wielding
その他,浮き輪,innertube
その他,ひも,thong
その他,飴（個包装）,candy
その他,飴（棒付き）,lolipop
その他,（金属、宝石的な）輝き,glint
その他,錨マーク,anchor symbol
その他,触覚,antennae
その他,杖,staff（stick / cane / wand / mace / crutchでも可）
その他,メカ娘,mecha musume
その他,和傘,oil paper umbrella
その他,大きな袋,sack
その他,エルーン（グラブル）,erune
その他,ドラフ族（グラブル）,draph
その他,IDカード（社員証）,id card / lanyard
その他,バイク,motorcycle
その他,土とか砂の汚れが付着,dirty
その他,サイボーグ,cyborg（一部がサイボーグ化される程度）
その他,角,horns / demon horns / single horns / dragon horns / oni horns / cow horns / curled horns / goat horns / sheep horns
その他,ムチ,whip
その他,ダンボール箱,cardboard box
その他,ドッグタグ,dog tags
その他,金網,chain-link fence
その他,水鉄砲,water gun
その他,ピンボケ,bokeh / blur
その他,提灯,paper lantern
その他,自転車,bicycles
その他,ガムを膨らませる,bubble blowing
その他,みかん,mandarin orange
その他,注ぐ,pouring（pouring waterで水を注ぐ、扱いが難しい）
その他,鳥かご,cage
その他,筆,calligraphy brush
その他,試験管,test tube
その他,アヒル隊長,rubber duck
その他,落ち影,drop shadow（shadow＋simple background？光源の位置がイラスト的な落ち影ではなく、文字装飾のドロップシャドウの方が近い）
その他,インク飛び散り,paint splatter
その他,メガホン,megaphone
その他,フェザーボア,feather boa
その他,回折スパイク、光の輝き、光の表現,diffraction spikes（sparkleと同じ？）
その他,聴診器,stethoscope
その他,炎,flaming
その他,絆創膏,bandaid（絆創膏まみれになる）
その他,残り火,embers
その他,かき氷,shaved ice
その他,ビーチタオル,beach towel
その他,ビニール袋,plastic bag
その他,サーフボード,surfboard（サイズが少しおかしい）
その他,頭の上に鳥,bird on head
その他,口を塞ぐ（人質的な）,gag / ball gag / towel gag（ボールやタオルは口以外に波及する）
その他,手枷、足枷,shackles
その他,包帯,bandage
その他,ウェイトリフティング,weightlifting
その他,飛沫,splashing
その他,バッグ,bag / handbag / backpack / shoulder bag / satchel
その他,バレンタイン,valentine
その他,クリスマス,christmas
その他,ハロウィーン,halloween
その他,ウェディング,wedding
その他,ブーケ,bouquet
その他,ウェディングドレス,wedding dress
その他,巫女,miko
その他,モーションブラー,motion blur
その他,ナース,nurse / nurse cap
その他,バンダナ,bandana
その他,アクレット,anklet
その他,マスク,mask / mouth mask
その他,プール,pool / pool side
その他,クリップボード,clipboard
その他,ポリス,police
その他２,襟の高いコート,high collar
その他２,;),ウインク（one eye closedで代用可能）
その他２,串刺し,stab / impaled
その他２,ミニ帽子,mini hat
その他２,御札,ofuda
その他２,ぐるぐる目,@_@
その他２,疑問が浮かんでる感じ,？
その他２,ふくれっ面,:t（poutで代用可能）
その他２,バッテン目,XD
その他２,レイプ目,empty eyes / no pupils / blank eyes / solid eyes / dilated pupils / hollow eyes
その他２,無表情,expressionless（blushを禁止にしたほうが良い）
その他２,前景がボケてる構図,blurry foreground
その他２,顔真っ赤,full face blush（blushとの違いがわからない）
その他２,ブルマ,buruma（bloomersはドロワーズになる）
その他２,服のポジ直し,adjusting clothes（服をつまんでいるだけ）
その他２,第三の目,third eye
その他２,片足立ち,panties around one leg
その他２,熟女,mature female
その他２,上がった眉毛,raised eyebrow（逆に下がっていることがある）
その他２,ボディースーツとかで真ん中の布がなくて左右に分かれてるやつ,center opening
その他２,下駄,geta
その他２,矢,arrow
その他２,サイズ違いのレイヤー,zoom layer
その他２,杖,rod / septer（stick / cane / wand / staff / mace / crutchで代用）
その他２,紋章,emblem（tattooが紋章っぽい、肩章はepaulettes）
その他２,ダブルピース,double v / double peace
その他２,ローレグ,lowleg
その他２,ジャケット肩にかけてるだけ,jacket on shoulders（肩が露出する）
その他２,胸を両腕で挟む構図,hanging breasts
その他２,ブランケット,blanket
その他２,痴漢？,groping
その他２,横座り,yokozuwari
その他２,人魂,hitodama
その他２,人外っぽい瞳,colored sclera
その他２,服の下に水着,swimsuit under clothes
その他２,足袋,tabi
その他２,ドローストリング（衣服をサイズ調整する紐）,drawstrings
その他２,唾液糸引き,saliva trail
その他２,ポッキー,pocky
その他２,背後から胸を掴む,grabbing from behind
その他２,膝裏,kneepits
その他２,栗みたいな口しやがって,chestnut mouth / triangle mouth
その他２,外ハネ,flipped hair
その他２,三角巾,triangular headpiece
その他２,シンプルなイヤリング,stud earring（余計な装飾が付いてしまう）
その他２,ランドセル,randoseru
その他２,手を差し伸べる,reaching out
その他２,酔っ払い,drunk（機能してるのかしてないのか分からない）
その他２,襷,tasuki
その他２,修道服,habit
その他２,お姫様抱っこ,princess carry
その他２,ぐるぐる波線（マンガ的なダメだこりゃ的な）,squiggle
その他２,スリングショット,slingshot swimsuit
その他２,落下中,falling
その他２,腕で胸を支える,arms under breasts
その他２,M字開脚,m legs
その他２,服の故障によるポロリ,wardrobe malfunction
その他２,ゲーム機を手に持つ,handheld game console（handheld switch / handheld playstation controllerでマシなものが出る）
その他２,アヘ顔,ahegao / rolling eyes
その他２,膝の上に座る,sitting on lap
その他２,半袖の下に長袖,short over long sleeves
その他２,靴底,shoe soles （出るけどクオリティが低い）
その他２,ぶかぶかの服,oversized clothes　※baggy clothesで代用可能
その他２,胸チラ,downblouse
その他２,ボディチーク,body blush
その他２,トロ顔,torogao
その他２,小指を立てる,pinky out
その他２,指で電話のポーズ、にっこにっこにーの手、星間飛行のキラッ☆の手,\m/
その他２,ベルトポーチ,belt pouch（ベルトとポーチになる）
その他２,ミコッテ族（FF14）,miqo'te（猫っぽいけど…）
その他２,上履き,uwabaki
その他２,蠱惑的な笑顔,seductive smile（smileとの違いがわからない）
その他２,不可能なシャツ（構造的に着れないものを着ている）,impossible shirt（taut shirtが似ている概念）
その他２,しっぽフリフリ,tail wagging（motion linesと組み合わせればワンチャンあるかも？　惜しいのは出た）
その他２,8分音符、16分音符,beamed eighth notes / beamed sixteen notes
その他２,変態,pervert（謎概念。元のタグとは関係なさそうな構図が出る。扱いがわからない）
その他２,緊張,nervous（blushとの違いがわからない）
その他２,骨,skeleton（中途半端に骨になる）
その他２,猫又,nekomata（おかゆんが出る）
その他２,膝枕,lap pillow（工夫次第で出そうではある）
その他２,白くベタついた何か,suggestive fluid
その他２,パニエ,bubble skirt / hoop skirt / pannier skirt
その他２,コタツ,kotatsu
その他２,胴体ひねり,twisted torso
その他２,スピードを表現する線,speed lines
その他２,耳真っ赤,ear blush
その他２,着替え中（着る最中）,dressing（脱いでる最中はundressing）
その他２,モノクル,monocle（メガネになる）
その他２,ヤンデレ,yandere
その他２,目を閉じて顔を寄せる,facing another
その他２,三白眼,sanpaku
その他２,ちょんまげ,topknot
その他２,閉じた傘,closed umbrella
その他２,道着,dougi
その他２,ウェヌスのエクボ,dimples of venus（お尻の上、腰辺りに出るエクボのことだが、そのあたりを見せる構図になるだけでエクボは出ない）
その他２,発泡,firing
その他２,キツネの影絵（キツネの形の手）,fox shadow puppet
その他２,義手、義足,prosthesis（それっぽいのが出ることはある）
その他２,顔面蒼白,turn pale
その他２,毛先の色が違う,colored tips
その他２,裸リボン,naked ribbon
その他２,瓢箪,gourd
その他２,！？のふきだし,spoken interrobang（？になる）
その他２,不揃いの胸たち,unaligned breasts
その他２,救命浮き輪,lifebuoy
その他２,目元でピース,v over eye（peace over eyeで顔の横でピースすることはあるが、目元ではない）
その他２,ティッシュ箱,tissue box
その他２,泳ぐ,swimming
その他２,裏乳,backboob（背中から見た時にはみでた乳）
その他２,毛先パッツン,blunt ends
その他２,後ろ向きに被る帽子,backwards hat（表向きに被る）
その他２,つるなしメガネ,pice nez（普通のメガネが出る）
その他２,○○で規制系,mosaic / bar / convenient / pointless / heart / hair / out of frame / novelty / steam / blur censoring
その他２,亀甲縛り,improvised gag / tortoise shell bondage（bdsm/ bondage/ bound arms/ rope/ skindentationあたりを使えば近くなるかも？）
その他２,肩を組む,arm around shoulder
その他２,手の指先だけを合わせる,steepled fingers
その他２,パンティーライン,panty line
その他２,不透明なメガネ,opaque glasses
その他２,りんご飴,candy apple
その他２,目のケガを覆う包帯,bandage over one eye
その他２,のしかかる,lying on person（条件によっては出るかも？）
その他２,セーラービキニ,sailor bikini
その他２,駅弁,reverse suspended congress
その他２,逆バニー,reverse bunny suit
その他２,エ霞,egasumi
その他２,カメラフレーム,viewfinder
その他２,シャツを下に引っ張る,shirt tug（シャツをつまむだけ）
その他２,スケート,skates
その他２,弓掛,yugake
その他２,足をクロスさせるモデルの立ちポーズ,watson cross
その他２,羽衣,hagoromo
その他２,猫耳パンツ,cat ear panties
その他２,ビーチサンダル,flip-flops（beach sandalsなら出る）
その他２,ワイドポニーテール,wide ponytail（ワイドなのかわからない）
その他２,こぼす,spill
その他２,長靴,rubber boots
その他２,ローション,lotion
その他２,肩車,shoulder carry / riding on someone's shoulders
その他２,半分履いた靴をぶらぶらさせる,shoe dangle
その他２,胸のカーテン,breasts curtain
その他２,仮面,domino mask
その他２,イヤークリップ,earclip
その他２,鼻水,snot
その他２,コギャル,kogal
その他２,だいしゅきホールド,leg lock
その他２,据え膳、誘ってやがる,come hither
その他２,パイスラッシュ,strap between breasts
その他２,足首をクロス,crossed ankles
その他２,ラッキースケベ、見ちゃった,walk in / caught
その他２,ヘッドマウントディスプレイ,head-mounted display（ゴーグルになる）
その他２,タキシード,tuxedo
その他２,長さ違いの袖,uneven sleeves
その他２,サラシ,sarashi
その他２,よだれを垂らす口（口の一部を拡張する表現）,mouth drool
その他２,口先を尖らせる（チュー口）,o3o
その他２,寝バック,prone bone
その他２,歯磨き,toothbrush
その他２,目をこする,rubbing eye
その他２,正の字,tally
その他２,脱ぎかけスカート,open skirt
その他２,壁ドン,kabedon（惜しい構図にはなる）
その他２,えんぺら,enpera（hair in scarfで代用）
その他２,頭巾,head scarf
その他２,怒りマーク,spoken anger vein
その他２,ドレッドヘア,dreadlocks